#options: 2560x1440 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=11000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:71 out:72 type:b dur:2 cpbdur:2 q:26.86 aq:25.40 tex:24994 mv:14796 misc:7898 imb:10 pmb:2006 smb:12384 d:- ref:0 ;
in:76 out:73 type:P dur:2 cpbdur:2 q:26.70 aq:19.90 tex:1171500 mv:55992 misc:5516 imb:524 pmb:11652 smb:2224 d:s ref:0 ;
in:74 out:74 type:B dur:2 cpbdur:2 q:26.77 aq:24.03 tex:84153 mv:31076 misc:10859 imb:20 pmb:3879 smb:10501 d:s ref:0 ;
in:73 out:75 type:b dur:2 cpbdur:2 q:26.81 aq:25.36 tex:16775 mv:11209 misc:6000 imb:6 pmb:1402 smb:12992 d:s ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:26.74 aq:25.26 tex:35181 mv:19401 misc:9322 imb:9 pmb:2721 smb:11670 d:- ref:0 ;
in:80 out:77 type:P dur:2 cpbdur:2 q:26.51 aq:19.55 tex:1533768 mv:63730 misc:4126 imb:790 pmb:11759 smb:1851 d:s ref:0 ;
in:78 out:78 type:B dur:2 cpbdur:2 q:26.61 aq:23.22 tex:160186 mv:37439 misc:12207 imb:32 pmb:5825 smb:8543 d:s ref:0 ;
in:77 out:79 type:b dur:2 cpbdur:2 q:26.66 aq:25.09 tex:25925 mv:13967 misc:7780 imb:7 pmb:1949 smb:12444 d:s ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:26.56 aq:25.28 tex:28046 mv:15112 misc:8058 imb:4 pmb:2118 smb:12278 d:- ref:0 ;
in:84 out:81 type:P dur:2 cpbdur:2 q:26.41 aq:19.54 tex:1229242 mv:54552 misc:5062 imb:472 pmb:11825 smb:2103 d:s ref:0 ;
in:82 out:82 type:B dur:2 cpbdur:2 q:26.46 aq:23.62 tex:89120 mv:28394 misc:10542 imb:19 pmb:3628 smb:10753 d:s ref:0 ;
in:81 out:83 type:b dur:2 cpbdur:2 q:26.49 aq:25.29 tex:19445 mv:12936 misc:7083 imb:12 pmb:1650 smb:12738 d:s ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:26.44 aq:25.11 tex:32677 mv:16904 misc:8843 imb:6 pmb:2436 smb:11958 d:- ref:0 ;
